city;lat;lng;continent
Pietermaritzburg;-29.61;30.39;AF
Poffader;-29.1329;19.3834;AF
Carnarvon;-30.9496;22.1333;AF
Kroonstad;-27.66;27.21;AF
Alexander Bay;-28.6083;16.5033;AF
Bloemhof;-27.6496;25.59;AF
Hermanus;-34.4096;19.2299;AF
Bethal;-26.4696;29.45;AF
Upington;-28.46;21.23;AF
Tzaneen;-23.8195;30.17;AF
Vanhynsdorp;-31.6166;18.7333;AF
Kimberley;-28.7468;24.77;AF
Durban;-29.865;30.98;AF
Klerksdorp;-26.88;26.62;AF
Welkom;-27.97;26.73;AF
De Aar;-30.65;24.0;AF
Prieska;-29.6595;22.73;AF
Saldanha;-33.01;17.93;AF
Middelburg;-31.5;25.01;AF
Port St. Johns;-31.6279;29.5283;AF
Volksrust;-27.3596;29.89;AF
Ulundi;-28.3296;31.41;AF
Beaufort West;-32.3496;22.57;AF
Komatipoort;-25.4096;31.94;AF
Nelspruit;-25.4745;30.9703;AF
Standerton;-26.9395;29.24;AF
Johannesburg;-26.17;28.03;AF
Kuruman;-27.4496;23.42;AF
Paarl;-33.6996;18.96;AF
Worcester;-33.64;19.4399;AF
Colesberg;-30.7195;25.1;AF
Umtata;-31.58;28.79;AF
Aliwal North;-30.6896;26.71;AF
Middelburg;-25.7596;29.47;AF
Springs;-26.2696;28.43;AF
Benoni;-26.1496;28.3299;AF
Port Shepstone;-30.7195;30.46;AF
Oudtshoorn;-33.58;22.19;AF
Port Elizabeth;-33.97;25.6;AF
Port Alfred;-33.5995;26.88;AF
East London;-32.97;27.87;AF
Mossel Bay;-34.17;22.13;AF
Vryburg;-26.96;24.73;AF
Uitenhage;-33.7596;25.39;AF
Bhisho;-32.87;27.39;AF
Knysna;-34.0329;23.0333;AF
Queenstown;-31.8996;26.88;AF
Cradock;-32.1995;25.61;AF
Bredasdorp;-34.5295;20.03;AF
Swellendam;-34.0196;20.43;AF
Ladysmith;-28.5495;29.78;AF
George;-33.95;22.45;AF
Grahamstown;-33.2996;26.52;AF
Mmabatho;-25.83;25.61;AF
Mahikeng;-25.8652;25.6442;AF
Musina;-22.34;30.03;AF
Pretoria;-25.7069;28.2294;AF
Bloemfontein;-29.12;26.2299;AF
Cape Town;-33.92;18.435;AF
Zambezi;-13.54;23.1099;AF
Solwezi;-12.1796;26.4;AF
Lusaka;-15.4166;28.2833;AF
Kaoma;-14.7796;24.8;AF
Chipata;-13.6296;32.64;AF
Senanga;-16.1196;23.27;AF
Sesheke;-17.4695;24.3;AF
Chililabombwe;-12.3696;27.82;AF
Chingola;-12.5396;27.85;AF
Kasempa;-13.4596;25.82;AF
Kitwe;-12.81;28.22;AF
Mufulira;-12.55;28.26;AF
Nchelenge;-9.3496;28.73;AF
Mazabuka;-15.86;27.76;AF
Lukulu;-14.3896;23.24;AF
Kafue;-15.78;28.18;AF
Lundazi;-12.2895;33.17;AF
Mansa;-11.2;28.89;AF
Mwinilunga;-11.7396;24.44;AF
Mumbwa;-14.9796;27.07;AF
Kalabo;-14.9896;22.68;AF
Nyimba;-14.5495;30.81;AF
Kapiri Mposhi;-13.9696;28.66;AF
Kabwe;-14.44;28.45;AF
Ndola;-12.9999;28.65;AF
Kasama;-10.1996;31.1799;AF
Mbala;-8.84;31.37;AF
Kawambwa;-9.7795;29.08;AF
Luanshya;-13.1333;28.4;AF
Mongu;-15.2796;23.12;AF
Mpika;-11.83;31.46;AF
Chinsali;-10.5496;32.06;AF
Livingstone;-17.86;25.86;AF
Choma;-16.8095;26.97;AF
Plumtree;-20.4795;27.82;AF
Kariba;-16.5296;28.8;AF
Hwange;-18.37;26.5;AF
Chiredzi;-21.0496;31.66;AF
Mazowe;-17.5196;30.97;AF
Zvishavane;-20.3296;30.05;AF
Shamva;-17.3196;31.57;AF
Harare;-17.8178;31.0447;AF
Kwekwe;-18.9296;29.8;AF
Kadoma;-18.33;29.9099;AF
Beitbridge;-22.2096;29.99;AF
Karoi;-16.8196;29.68;AF
Victoria Falls;-17.9296;25.84;AF
Chitungwiza;-18.0;31.1;AF
Bindura;-17.3019;31.3306;AF
Lupane;-18.9315;27.807;AF
Marondera;-18.1853;31.5519;AF
Masvingo;-20.0596;30.82;AF
Mutare;-18.97;32.65;AF
Bulawayo;-20.17;28.58;AF
Chinhoyi;-17.3596;30.18;AF
Gwanda;-20.9396;29.01;AF
Gweru;-19.45;29.82;AF
Maqat;47.6482;53.3265;AS
Zhangaozen;43.3004;52.8;AS
Taraz;42.9;71.365;AS
Oral;51.2711;51.335;AS
Balqash;46.8532;74.9502;AS
Zaysan;47.4752;84.8598;AS
Oytal;42.9153;73.2549;AS
Zholymbet;51.7502;71.7099;AS
Serebryansk;49.6999;83.4249;AS
Chapaev;50.1915;51.1449;AS
Ridder;50.3554;83.5149;AS
Zhaltyr;51.6324;69.8328;AS
Atbasar;51.8219;68.3477;AS
Aqsay;51.1714;53.0349;AS
Shemonaikha;50.6316;81.905;AS
Atasu;48.6903;71.6499;AS
Rudny;52.9527;63.13;AS
Makhambet;47.6714;51.5798;AS
Fort Shevchenko;44.5171;50.2666;AS
Qusmuryn;52.458;64.6;AS
Oktyabrsk;49.4731;57.4449;AS
Khromtau;50.2699;58.45;AS
Algha;49.9032;57.335;AS
Embi;48.8268;58.1442;AS
Ushtobe;45.2653;77.97;AS
Burylbaytal;44.9387;74.0303;AS
Zhanibek;49.4276;46.8772;AS
Esil;51.957;66.3775;AS
Derzhavinsk;51.1021;66.3075;AS
Saryshaghan;46.1195;73.6191;AS
Turgay;49.626;63.499;AS
Sarqan;45.4203;79.9149;AS
Arqalyq;50.2418;66.8976;AS
Shalqar;47.8363;59.6141;AS
Shieli;44.167;66.75;AS
Bayghanin;48.6917;55.874;AS
Zhezqazghan;47.78;67.77;AS
Mangyshlak;43.6905;51.1417;AS
Zhosaly;45.4877;64.078;AS
Beyneu;45.1834;55.1;AS
Qazaly;45.7628;62.1075;AS
Aral;46.8;61.6666;AS
Ayakoz;47.9647;80.4297;AS
Urzhar;47.1002;81.6048;AS
Qapshaghay;43.8844;77.0687;AS
Esik;43.3691;77.4438;AS
Qaratau;43.1854;70.46;AS
Sharbaqty;52.4999;78.1499;AS
Oostanay;53.2209;63.6283;AS
Kachiry;53.0804;76.09;AS
Kishkenekol;53.6368;72.3414;AS
Bulaevo;54.9053;70.44;AS
Shonzhy;43.5421;79.4703;AS
Qyzylorda;44.8;65.465;AS
Qaraghandy;49.885;73.115;AS
Ertis;53.3453;75.4499;AS
Tayynsha;53.8481;69.7638;AS
Qulan;42.9204;72.705;AS
Shu;43.5953;73.7448;AS
Kentau;43.5165;68.5199;AS
Oskemen;49.99;82.6149;AS
Aqtau;43.6232;51.2365;AS
Taldyqorghan;45.0;78.4;AS
Astana;51.1811;71.4278;AS
Aqtobe;50.28;57.17;AS
Kokshetau;53.3;69.42;AS
Petropavlovsk;54.88;69.22;AS
Pavlodar;52.3;76.95;AS
Otar;43.5346;75.2139;AS
Almaty;43.325;76.915;AS
Bestobe;52.4997;73.0997;AS
Arys;42.4369;68.8048;AS
Lenger;42.1899;69.8799;AS
Aqsu;52.4502;71.9597;AS
Temirtau;50.065;72.965;AS
Makinsk;52.6404;70.41;AS
Osakarovka;50.5799;72.5699;AS
Qarqaraly;49.4249;75.4649;AS
Ekibastuz;51.73;75.3199;AS
Zyryanovsk;49.7453;84.2548;AS
Komsomolets;53.7506;62.0502;AS
Baykonur;45.6914;63.2413;AS
Erymentau;51.6303;73.1049;AS
Qarazhal;48.0253;70.7999;AS
Tobol;52.698;62.5749;AS
Shar;49.6003;81.0549;AS
Semey;50.435;80.275;AS
Boralday;43.3341;76.8288;AS
Zhetiqara;52.193;61.2399;AS
Aqadyr;48.2749;72.8599;AS
Zharkent;44.1616;79.9801;AS
Qulsary;46.9833;54.0165;AS
Balyqshy;47.0666;51.8666;AS
Atyrau;47.1127;51.92;AS
Shymkent;42.32;69.595;AS
Turkistan;43.3016;68.2549;AS
Xiangkhoang;19.3337;103.3666;AS
Muang Phônsavan;19.45;103.2167;AS
Vientiane;17.9667;102.6;AS
Ban Houayxay;20.2775;100.4128;AS
Muang Phôn-Hông;18.4957;102.4142;AS
Louang Namtha;20.95;101.4167;AS
Phongsali;21.6833;102.1;AS
Thakhek;17.4112;104.8361;AS
Muang Pakxan;18.3826;103.6586;AS
Louangphrabang;19.8845;102.1416;AS
Xaignabouri;19.2505;101.7501;AS
Savannakhet;16.5376;104.773;AS
Lamam;15.4171;106.6946;AS
Pakxe;15.1221;105.8183;AS
Attapu;14.808;106.839;AS
Xam Nua;20.4167;104.0333;AS
Muang Xai;20.6923;101.9847;AS
Saravan;15.716;106.427;AS
Champasak;14.8833;105.8667;AS
Beirut;33.872;35.5097;AS
Zahlé;33.8501;35.9042;AS
Baalbek;34.0058;36.2181;AS
B'abda;33.8333;35.5333;AS
Halba;34.5428;36.0797;AS
Saida;33.563;35.3688;AS
Nabatiye et Tahta;33.3833;35.45;AS
Trablous;34.42;35.87;AS
Castries;14.002;-61.0;NA
Gamprin;47.2197;9.5113;EU
Triesenberg;47.1182;9.5444;EU
Schaan;47.1661;9.5096;EU
Ruggell;47.2408;9.5247;EU
Mauren;47.2205;9.5426;EU
Eschen;47.2109;9.5216;EU
Triesen;47.1101;9.524;EU
Balzers;47.0667;9.5025;EU
Vaduz;47.1337;9.5167;EU
Planken;47.1844;9.5436;EU
Schellenberg;47.2325;9.5463;EU
Colombo;6.932;79.8578;AS
Ratnapura;6.693;80.386;AS
Matara;5.949;80.5428;AS
Sri Jawewardenepura Kotte;6.9;79.95;AS
Moratuwa;6.7804;79.88;AS
Anuradhapura;8.35;80.3833;AS
Galle;6.03;80.24;AS
Puttalan;8.033;79.826;AS
Kandy;7.28;80.67;AS
Badulla;6.9837;81.0499;AS
Trincomalee;8.569;81.233;AS
Kilinochchi;9.4004;80.3999;AS
Batticaloa;7.717;81.7;AS
Jaffna;9.675;80.005;AS
Bopolu;7.0667;-10.4875;AF
Voinjama;8.4167;-9.75;AF
Robertsport;6.7533;-11.3686;AF
Buchanan;5.9161;-10.0525;AF
Monrovia;6.3106;-10.8048;AF
Tubmanburg;6.8706;-10.8211;AF
Buchanan;5.8811;-10.0447;AF
Zwedru;6.0704;-8.13;AF
Barclayville;4.8;-8.1667;AF
Rivercess;5.465;-9.578;AF
Fish Town;5.1974;-7.8758;AF
Gbarnga;7.0104;-9.49;AF
Kakata;6.526;-10.349;AF
Sanniquellie;7.371;-8.685;AF
Greenville;5.0111;-9.0388;AF
Bensonville;6.4333;-10.6;AF
Harper;4.3754;-7.717;AF
Maseru;-29.3167;27.4833;AF
Mokhotlong;-29.291;29.078;AF
Thaba-Tseka;-29.522;28.6084;AF
Moyeni;-30.411;27.716;AF
Qacha’s Nek;-30.1154;28.6894;AF
Mafetang;-29.8166;27.25;AF
Hlotse;-28.878;28.056;AF
Teyateyaneng;-29.153;27.753;AF
Mohales Hoek;-30.159;27.48;AF
Butha-Buthe;-28.75;28.25;AF
Klaipėda;55.7204;21.1199;EU
Palanga;55.9203;21.071;EU
Nida;55.3086;20.9965;EU
Kretinga;55.8888;21.2445;EU
Tauragė;55.2522;22.2897;EU
Šilutė;55.3453;21.4733;EU
Rietavas;55.7271;21.9234;EU
Plungė;55.9077;21.8456;EU
Šilalė;55.4898;22.1869;EU
Visaginas;55.5968;26.4398;EU
Zarasai;55.7322;26.2512;EU
Ignalina;55.3406;26.1605;EU
Utena;55.4976;25.5992;EU
Švenčionys;55.133;26.1595;EU
Rokiškis;55.9587;25.5947;EU
Molėtai;55.2247;25.4169;EU
Šalčininkai;54.3086;25.3868;EU
Vilnius;54.6834;25.3166;EU
Kupiškis;55.8401;24.9803;EU
Trakai;54.6399;24.936;EU
Biržai;56.1986;24.7521;EU
Anykščiai;55.5246;25.1066;EU
Telšiai;55.9831;22.2343;EU
Kelmė;55.6301;22.9349;EU
Marijampolė;54.5599;23.3541;EU
Lazdijai;54.2333;23.5147;EU
Šakiai;54.9534;23.0478;EU
Radviliškis;55.8111;23.5411;EU
Šiauliai;55.9386;23.325;EU
Birštonas;54.6048;24.0311;EU
Druskininkai;54.0157;23.987;EU
Kėdainiai;55.2878;23.9727;EU
Alytus;54.3964;24.0414;EU
Prienai;54.636;23.9458;EU
Elektrėnai;54.7863;24.6626;EU
Kaunas;54.9504;23.88;EU
Jonava;55.0801;24.2754;EU
Kaišiadorys;54.8653;24.4682;EU
Panevežys;55.74;24.37;EU
Joniškis;56.2394;23.6154;EU
Kazlų Rūda;54.7497;23.495;EU
Vilkaviškis;54.648;23.0305;EU
Pasvalys;56.0625;24.3997;EU
Pakruojis;55.9789;23.8551;EU
Raseiniai;55.3797;23.1239;EU
Pagėgiai;55.1379;21.9138;EU
Jurbarkas;55.0756;22.7642;EU
Kalvarija;54.4172;23.2283;EU
Širvintos;55.044;24.9545;EU
Skuodas;56.2706;21.5321;EU
Mažeikiai;56.3122;22.3265;EU
Akmenė;56.25;22.75;EU
Ukmergė;55.2494;24.7636;EU
Varėna;54.2155;24.5754;EU
Capellen;49.645;5.9908;EU
Esch-sur-Alzette;49.4958;5.9806;EU
Remich;49.545;6.3669;EU
Echternach;49.8056;6.4222;EU
Mersch;49.7489;6.1061;EU
Redange-sur-Attert;49.7656;5.8908;EU
Vianden;49.935;6.2089;EU
Wiltz;49.9689;5.9319;EU
Clervaux;50.0547;6.0314;EU
Diekirch;49.8833;6.1667;EU
Grevenmacher;49.7;6.3333;EU
Luxembourg;49.6117;6.13;EU
Auce;56.4611;22.9028;EU
Daugavpils;55.88;26.51;EU
Jēkabpils;56.4833;25.85;EU
Salacgrīva;57.7531;24.359;EU
Ventspils;57.3899;21.5606;EU
Dundaga;57.505;22.3504;EU
Jaunjelgava;56.6132;25.0832;EU
Nereta;56.2044;25.3077;EU
Alsunga;56.9801;21.564;EU
Kuldīga;56.969;21.968;EU
Pāvilosta;56.8898;21.1817;EU
Piņķi;56.9419;23.9137;EU
Ādaži;57.0705;24.3371;EU
Kandava;57.0389;22.7724;EU
Roja;57.5015;22.8088;EU
Carnikava;57.1293;24.2842;EU
Garkalne;57.0449;24.4195;EU
Saulkrasti;57.2599;24.4189;EU
Smārde;56.9533;23.3387;EU
Mērsrags;57.3364;23.1235;EU
Talsi;57.2465;22.5876;EU
Jūrmala;56.9567;23.7233;EU
Mārupe;56.9032;24.0467;EU
Ulbroka;56.9363;24.3039;EU
Zilupe;56.386;28.1218;EU
Ludza;56.5396;27.7189;EU
Dagda;56.0961;27.5328;EU
Baltinava;56.9439;27.644;EU
Cibla;56.5498;27.8837;EU
Kārsava;56.7874;27.6732;EU
Riga;56.95;24.1;EU
Krāslava;55.8969;27.172;EU
Limbaži;57.513;24.724;EU
Preiļi;56.294;26.7248;EU
Vecvārkava;56.1984;26.5081;EU
Ilūkste;55.9779;26.2978;EU
Nīca;56.3456;21.0646;EU
Bauska;56.4079;24.1944;EU
Viļaka;57.1843;27.6719;EU
Līvāni;56.3567;26.1761;EU
Alūksne;57.4216;27.0466;EU
Jaunpils;56.7314;23.0125;EU
Brocēni;56.6789;22.5694;EU
Rugāji;57.0033;27.1337;EU
Riebiņi;56.3403;26.7999;EU
Viļāni;56.5505;26.9298;EU
Varakļāni;56.6091;26.7547;EU
Ape;57.5394;26.694;EU
Madona;56.851;26.2184;EU
Jaunpiebalga;57.1775;26.0284;EU
Lubāna;56.9043;26.7161;EU
Gulbene;57.1734;26.7527;EU
Balvi;57.1287;27.27;EU
Aknīste;56.1615;25.7482;EU
Viesīte;56.3465;25.5581;EU
Cesvaine;56.9675;26.3076;EU
Ķegums;56.7455;24.725;EU
Vecpiebalga;57.0618;25.8179;EU
Smiltene;57.4242;25.9017;EU
Drabeši;57.2433;25.2803;EU
Cēsis;57.3091;25.2761;EU
Ērgļi;56.8988;25.6429;EU
Valka;57.7767;26.0118;EU
Grobiņa;56.5358;21.1747;EU
Strenči;57.6269;25.6919;EU
Mūrmuiža;57.4731;25.4917;EU
Mazsalaca;57.8619;25.0547;EU
Aloja;57.7672;24.8774;EU
Burtnieki;57.6949;25.275;EU
Koknese;56.6516;25.4364;EU
Aizkraukle;56.6029;25.2636;EU
Skrīveri;56.6485;25.1195;EU
Baldone;56.7445;24.4008;EU
Vecumnieki;56.6061;24.5223;EU
Sala;56.5047;25.7618;EU
Pļaviņas;56.6177;25.7194;EU
Liepaga;56.51;21.01;EU
Rūjiena;57.8961;25.3342;EU
Naukšēni;57.8842;25.458;EU
Lieģi;56.5797;21.3338;EU
Rauna;57.3337;25.6085;EU
Aizpute;56.7211;21.6016;EU
Kocēni;57.5198;25.3404;EU
Valmiera;57.5387;25.4257;EU
Sigulda;57.1538;24.8595;EU
Priekuļi;57.3115;25.3571;EU
Ogre;56.8113;24.6113;EU
Ragana;57.1821;24.7056;EU
Loja;57.1534;24.6433;EU
Ropaži;56.9747;24.6329;EU
Priekule;56.4458;21.5939;EU
Iecava;56.5977;24.2076;EU
Rucava;56.164;21.1627;EU
Pilsrundāle;56.4181;24.0162;EU
Salaspils;56.861;24.3498;EU
Ikšķile;56.834;24.4968;EU
Lielvārde;56.7213;24.8062;EU
Inčukalns;57.0987;24.6863;EU
Mālpils;57.0101;24.9578;EU
Olaine;56.7947;23.9358;EU
Ķekava;56.8296;24.2318;EU
Līgatne;57.2379;25.0436;EU
Stalbe;57.3708;25.0324;EU
Jelgava;56.6527;23.7128;EU
Skrunda;56.6775;22.0165;EU
Vaiņode;56.4185;21.8541;EU
Saldus;56.6666;22.4935;EU
Tukums;56.9676;23.1555;EU
Tērvete;56.4798;23.3902;EU
Dobele;56.6237;23.2751;EU
Rēzekne;56.5;27.3166;EU
Aglona;56.1327;27.0068;EU
Ozolnieki;56.6899;23.7761;EU
Tripoli;32.8925;13.18;AF
Al ‘Azīzīyah;32.5319;13.0175;AF
Zuwarah;32.9344;12.0791;AF
Al Khums;32.6604;14.26;AF
As Sidr;30.6704;18.2666;AF
Ghadamis;30.1333;9.5;AF
Dirj;30.1679;10.4567;AF
Nalut;31.8804;10.97;AF
Umm al Abid;27.517;15.0333;AF
Sabha;27.0333;14.4333;AF
Birak;27.5333;14.2834;AF
Idrī;27.4471;13.0517;AF
Zillah;28.5504;17.5834;AF
Hun;29.1167;15.9333;AF
Az Zawiyah;32.7604;12.72;AF
Awjilah;29.108;21.2869;AF
El Agheila;30.257;19.2;AF
Maradah;29.2337;19.2166;AF
Ajdabiya;30.77;20.22;AF
Darnah;32.7648;22.6391;AF
Al Jaghbub;29.7504;24.5166;AF
Mizdah;31.4337;12.9833;AF
Gharyan;32.1704;13.02;AF
Tubruq;32.08;23.96;AF
Shahhat;32.8281;21.8622;AF
Tajarhi;24.3704;14.4708;AF
Al Bayda;32.7604;21.62;AF
Ghat;24.9647;10.1728;AF
Tmassah;26.3666;15.8;AF
Marzuq;25.9044;13.8972;AF
Al Marj;32.5005;20.83;AF
Surt;31.21;16.59;AF
Bani Walid;31.7704;13.99;AF
Awbārī;26.5903;12.7751;AF
Al Jawf;24.2;23.29;AF
Al Kufrah;24.1667;23.2696;AF
Qaminis;31.6606;20.0155;AF
Banghazi;32.1167;20.0667;AF
Misratah;32.38;15.1;AF
Kenitra;34.2704;-6.58;AF
Goulimine;28.98;-10.07;AF
Fez;34.0546;-5.0004;AF
Casablanca;33.6;-7.6164;AF
Agadir;30.44;-9.62;AF
Béni Mellal;32.3373;-6.3498;AF
Tangier;35.7473;-5.8327;AF
Settat;33.0104;-7.62;AF
Oujda;34.69;-1.91;AF
Meknes;33.9004;-5.56;AF
Rabat;34.0253;-6.8361;AF
Marrakesh;31.63;-8.0;AF
El Jadida;33.2604;-8.51;AF
Er Rachidia;31.9404;-4.45;AF
Tan Tan;28.4304;-11.1;AF
Taza;34.2204;-4.02;AF
Larache;35.2004;-6.16;AF
Ksar El Kebir;35.0204;-5.91;AF
Safi;32.32;-9.24;AF
Tiznit;29.7104;-9.74;AF
Ouezzane;34.8103;-5.57;AF
Monaco;43.7396;7.4069;EU
Leova;46.4823;28.253;EU
Rezina;47.7493;28.9658;EU
Căuşeni;46.6367;29.4111;EU
Rîşcani;47.9479;27.5638;EU
Sîngerei;47.6363;28.143;EU
Făleşti;47.5767;27.7126;EU
Floreşti;47.8914;28.2931;EU
Şoldăneşti;47.8161;28.7972;EU
Ştefan Vodă;46.5129;29.6619;EU
Orhei;47.3849;28.8245;EU
Comrat;46.2946;28.6565;EU
Cimişlia;46.5268;28.7644;EU
Cantemir;46.2774;28.2027;EU
Basarabeasca;46.3317;28.9636;EU
Edineţ;48.1721;27.3034;EU
Ocniţa;48.3827;27.4381;EU
Drochia;48.0355;27.8129;EU
Donduşeni;48.2394;27.6056;EU
Briceni;48.3629;27.0779;EU
Ialoveni;46.9435;28.7823;EU
Bălți;47.7591;27.9053;EU
Criuleni;47.2131;29.1593;EU
Bender;46.8316;29.4777;EU
Anenii Noi;46.8784;29.2348;EU
Cahul;45.9079;28.1944;EU
Chișinău;47.005;28.8577;EU
Straşeni;47.1422;28.6077;EU
Tiraspol;46.8531;29.64;EU
Teleneşti;47.5011;28.3654;EU
Taraclia;45.9027;28.6682;EU
Dubăsari;47.2631;29.1608;EU
Cocieri;47.3087;29.1101;EU
Călăraşi;47.2556;28.3099;EU
Glodeni;47.7751;27.5189;EU
Hînceşti;46.8305;28.5906;EU
Nisporeni;47.0816;28.1714;EU
Soroca;48.1566;28.2849;EU
Ungheni;47.2108;27.8005;EU
Berane;42.8425;19.8733;EU
Plav;42.5969;19.9456;EU
Andrijevica;42.7339;19.7919;EU
Petnjica;42.9089;19.9644;EU
Gusinje;42.5619;19.8339;EU
Kolašin;42.8242;19.5225;EU
Podgorica;42.466;19.2663;EU
Bijelo Polje;43.0292;19.7456;EU
Bar;42.0931;19.1003;EU
Budva;42.2864;18.84;EU
Cetinje;42.3922;18.9225;EU
Danilovgrad;42.5472;19.1053;EU
Herceg-Novi;42.4531;18.5375;EU
Kotor;42.4258;18.7719;EU
Mojkovac;42.9639;19.5825;EU
Nikšić;42.775;18.9583;EU
Plužine;43.1528;18.8394;EU
Pljevlja;43.3522;19.3542;EU
Rožaje;42.8439;20.1683;EU
Šavnik;42.9564;19.0967;EU
Tivat;42.4364;18.6961;EU
Ulcinj;41.9283;19.2064;EU
Žabljak;43.1547;19.1219;EU
Marigot;18.0706;-63.0847;NA
Antananarivo;-18.9166;47.5166;AF
Toamasina;-18.1818;49.405;AF
Antalaha;-14.8833;50.2833;AF
Maroantsetra;-15.4333;49.7333;AF
Mandritsara;-15.8328;48.8166;AF
Besalampy;-16.7495;44.4833;AF
Marovoay;-16.0995;46.6333;AF
Andoany;-13.4;48.2666;AF
Mahajanga;-15.67;46.345;AF
Ambanja;-13.6829;48.45;AF
Antsiranana;-12.2765;49.3115;AF
Miandrivazo;-19.5162;45.4666;AF
Mananjary;-21.2167;48.3333;AF
Morombe;-21.7391;43.3657;AF
Toliara;-23.3568;43.69;AF
Manja;-21.4329;44.3333;AF
Fianarantsoa;-21.4333;47.0833;AF
Androka;-25.0219;44.0749;AF
Bekiy;-24.2162;45.3166;AF
Antsirabe;-19.85;47.0333;AF
Antsohihy;-14.8661;47.9834;AF
Maintirano;-18.0666;44.0167;AF
Ambatondrazaka;-17.8329;48.4167;AF
Farafangana;-22.8166;47.8332;AF
Ihosy;-22.3996;46.1167;AF
Morondava;-20.2833;44.2833;AF
Tôlanaro;-25.0268;46.99;AF
Sambava;-14.2662;50.1666;AF
Majuro;7.103;171.38;OC
Vevčani;41.2406;20.5933;EU
Kočani;41.9164;22.4128;EU
Staro Nagoričane;42.1981;21.8286;EU
Radoviš;41.6383;22.4647;EU
Sopište;41.9547;21.4275;EU
Petrovec;41.9389;21.615;EU
Bosilovo;41.4406;22.7278;EU
Zrnovci;41.8542;22.4444;EU
Gradsko;41.5775;21.9428;EU
Lipkovo;42.1564;21.5853;EU
Lozovo;41.7839;21.9056;EU
Plasnica;41.4672;21.1231;EU
Aračinovo;42.0264;21.5619;EU
Studeničani;41.9158;21.5306;EU
Resen;41.0893;21.0109;EU
Bogovinje;41.9236;20.9136;EU
Vinica;41.8828;22.5092;EU
Belčišta;41.3028;20.8303;EU
Mogila;41.1083;21.3786;EU
Veles;41.7156;21.7756;EU
Kavadarci;41.4331;22.0119;EU
Kumanovo;42.1322;21.7144;EU
Ohrid;41.1172;20.8019;EU
Strumica;41.4375;22.6433;EU
Makedonski Brod;41.5136;21.2153;EU
Rostuša;41.61;20.6;EU
Struga;41.178;20.6778;EU
Čučer-Sandevo;42.102;21.3846;EU
Novo Selo;41.4149;22.8816;EU
Zelenikovo;41.8841;21.5885;EU
Star Dojran;41.1865;22.7203;EU
